num	mean	min	q25	q50	q75	max
2252	36	24	34	37	39	41
2253	33	7	31	34	38	40
2254	36	10	35	39	41	41
2255	35	18	34	37	39	41
2256	36	20	34	37	40	41
2257	38	26	37	40	41	41
2258	36	28	34	37	40	41
2259	25	2	19	29	33	40
2260	37	30	35	38	40	41
2261	38	23	35	39	41	41
2262	39	34	38	40	41	41
2263	37	26	35	38	40	41
2264	37	17	35	38	40	41
2265	35	17	32	36	39	41
2266	35	7	34	37	39	41
2267	34	7	34	37	39	40
2268	34	18	31	35	38	41
2269	37	29	35	39	41	41
2270	29	2	27	31	35	40
2271	39	33	37	40	41	41
2272	36	29	35	35	39	41
2273	37	25	35	37	41	41
2274	37	18	35	37	41	41
2275	33	2	31	34	38	40
2276	34	24	33	35	37	41
2277	32	2	32	35	38	41
2278	34	2	32	37	40	41
2279	38	34	35	39	41	41
2280	36	5	34	36	40	41
2281	36	26	35	37	39	41
2282	34	22	32	35	38	40
2283	33	7	31	35	38	41
2284	37	33	35	37	40	41
2285	36	25	34	37	39	41
2286	38	33	36	40	41	41
2287	29	2	28	31	35	40
2288	38	25	35	39	41	41
2289	38	34	37	40	41	41
2290	38	31	37	40	41	41
2291	35	23	34	35	38	40
2292	37	25	35	38	40	41
2293	25	2	2	31	36	40
2294	37	32	35	37	41	41
2295	28	2	29	33	36	40
2296	36	29	35	35	39	41
2297	38	27	37	40	41	41
2298	38	29	35	39	41	41
2299	36	2	35	38	40	41
2300	36	17	35	38	41	41
2301	37	2	35	39	41	41
2302	37	26	35	37	41	41
2303	29	2	27	32	36	39
2304	38	32	37	40	41	41
2305	36	30	35	37	39	41
2306	37	27	35	38	40	41
2307	37	29	35	38	41	41
2308	34	19	33	35	37	41
2309	38	33	37	39	41	41
2310	35	13	33	37	40	41
2311	37	29	35	38	40	41
2312	28	2	2	35	40	41
2313	32	7	29	34	38	41
2314	30	7	27	31	35	40
2315	38	31	37	39	40	41
2316	37	24	35	39	41	41
2317	35	24	34	35	39	41
2318	36	18	34	37	40	41
2319	37	27	35	38	41	41
2320	36	6	34	37	40	41
2321	38	32	35	39	41	41
2322	36	24	34	35	39	41
2323	37	17	36	39	41	41
2324	36	24	34	35	40	41
2325	32	2	31	35	38	41
2326	37	23	35	38	40	41
2327	36	24	35	37	39	41
2328	37	27	35	38	40	41
2329	38	29	35	39	41	41
2330	35	25	35	35	37	41
2331	34	21	31	34	38	40
2332	38	31	36	39	41	41
2333	30	2	29	34	38	40
2334	33	2	31	34	37	40
2335	35	2	34	37	40	41
2336	36	7	34	39	40	41
2337	34	2	32	35	39	41
2338	34	7	34	35	40	41
2339	39	31	37	40	41	41
2340	37	25	35	39	41	41
2341	37	2	35	40	41	41
2342	36	2	35	37	41	41
2343	36	17	33	37	40	41
2344	33	2	32	35	35	41
2345	36	25	35	38	40	40
2346	32	2	30	33	37	40
2347	37	29	35	38	40	41
2348	34	17	32	35	38	41
2349	34	25	33	34	37	41
2350	38	33	37	40	41	41
2351	37	29	35	37	41	41
2352	36	21	35	37	40	41
2353	31	5	27	33	38	40
2354	35	2	34	38	40	41
2355	38	27	36	39	41	41
2356	37	29	35	37	41	41
2357	38	10	37	39	41	41
2358	35	19	33	37	40	41
2359	35	18	34	35	38	41
2360	37	29	35	39	41	41
2361	36	30	34	37	39	41
2362	32	2	30	34	37	39
2363	34	17	33	36	39	41
2364	36	27	34	37	39	41
2365	36	26	34	36	39	41
2366	36	23	34	37	39	41
2367	35	20	33	36	39	40
2368	36	10	34	37	40	41
2369	37	31	35	37	41	41
2370	36	27	34	37	39	41
2371	33	2	32	35	38	40
2372	35	20	34	36	39	41
2373	38	2	37	40	41	41
2374	36	29	35	36	39	41
2375	36	21	34	36	39	41
2376	31	8	26	33	36	40
2377	36	25	35	36	39	41
2378	22	2	2	29	36	40
2379	38	33	35	39	41	41
2380	31	8	28	32	37	40
2381	34	18	32	36	39	41
2382	35	13	33	36	39	41
2383	34	18	33	34	37	40
2384	37	30	35	39	41	41
2385	38	31	35	39	41	41
2386	32	2	31	35	39	41
2387	30	2	31	34	38	40
2388	37	26	35	38	40	41
2389	39	30	37	41	41	41
2390	38	30	35	39	41	41
2391	29	7	26	31	34	40
2392	37	30	35	38	40	41
2393	37	25	36	39	41	41
2394	35	7	34	37	38	41
2395	36	10	34	38	41	41
2396	35	23	34	35	39	41
2397	32	7	30	33	36	40
2398	38	32	36	39	41	41
2399	37	23	35	39	41	41
2400	35	18	33	36	39	41
2401	36	25	34	37	40	41
2402	34	2	33	35	38	41
2403	33	17	30	34	37	40
2404	38	32	37	40	41	41
2405	30	7	26	31	36	40
2406	30	7	27	31	36	40
2407	30	6	26	32	36	39
2408	35	24	34	35	38	41
2409	36	31	35	35	39	41
2410	36	27	34	35	40	41
2411	37	28	34	38	40	41
2412	36	8	34	38	40	41
2413	35	20	34	37	39	41
2414	38	24	35	39	41	41
2415	35	21	34	35	35	41
2416	38	33	36	39	41	41
2417	35	19	33	36	39	40
2418	36	21	34	38	40	41
2419	38	31	37	40	41	41
2420	36	29	34	36	40	41
2421	36	25	35	37	40	41
2422	38	31	35	39	41	41
2423	37	27	35	37	41	41
2424	33	2	31	37	39	41
2425	37	32	35	37	41	41
2426	37	29	36	38	40	41
2427	37	31	35	39	40	41
2428	38	31	37	40	41	41
2429	37	25	35	38	40	41
2430	36	12	35	35	40	41
2431	33	20	30	34	38	41
2432	32	2	32	35	37	41
2433	37	30	35	37	41	41
2434	35	17	34	37	39	41
2435	37	31	35	38	40	41
2436	30	2	28	33	38	40
2437	32	10	31	34	35	41
2438	33	8	31	34	37	40
2439	32	11	30	33	36	40
2440	38	30	35	39	41	41
2441	37	18	35	38	41	41
2442	36	15	35	37	40	41
2443	38	28	37	40	41	41
2444	39	34	38	40	41	41
2445	39	32	38	40	41	41
2446	38	33	35	39	41	41
2447	36	23	34	36	40	41
2448	29	2	28	33	37	40
2449	38	32	35	39	41	41
2450	37	26	35	38	40	41
2451	37	31	35	39	41	41
2452	37	23	35	38	41	41
2453	37	2	35	39	41	41
2454	37	26	35	37	40	41
2455	24	2	2	34	35	40
2456	37	26	35	37	41	41
2457	38	30	35	39	41	41
